ano,id_candidato_bd,genero,valor_receita
2016,1003688,masculino,2517.0
2016,1003695,feminino,3500.0
2016,1003695,masculino,700.0
2016,1003904,masculino,1040.0
2016,1003908,masculino,20252.1
2016,1003925,masculino,13200.0
2016,100432,masculino,658.97
2016,1004342,masculino,200.0
2016,1005829,masculino,3000.0
2016,100614,masculino,331.5
2016,100655,masculino,525.0
2016,1006669,masculino,921.7
2016,1008295,feminino,200.0
2016,100845,feminino,2868.63
2016,1011681,feminino,3926.8
2016,1011937,masculino,5126.6
2016,101213,feminino,1620.0
2016,1012496,masculino,58800.0
2016,1012511,masculino,464.52
2016,1012631,feminino,250.0
2016,1012677,masculino,2481.0
2016,1012681,masculino,200.0
2016,1012686,masculino,232.5
2016,1012687,masculino,200.0
2016,1012700,feminino,8141.32
2016,1012755,masculino,321.39
2016,1012786,masculino,43950.0
2016,1012832,masculino,38826.8
2016,1012911,masculino,1062.94
2016,1012984,masculino,2800.2
2016,1013088,feminino,1581.0
2016,1013193,feminino,2315.0
2016,1013384,masculino,11637.5
2016,1013500,feminino,8396.0
2016,101359,masculino,11298.0
2016,1013591,masculino,3646.8
2016,1013598,masculino,150.0
2016,1013702,feminino,1264.52
2016,1013721,masculino,920.0
2016,1013893,masculino,3020.0
2016,1013946,masculino,24294.35
2016,1014136,feminino,12688.0
2016,1014136,masculino,3172.0
2016,1014170,masculino,600.0
2016,1014270,masculino,100.0
2016,1015418,masculino,75155.0
2016,1015451,feminino,16560.0
2016,1015704,masculino,200.0
2016,1016114,feminino,1280.0
2016,1016246,feminino,2820.0
2016,1016437,feminino,3056.03
2016,1016628,masculino,1963.4
2016,1016790,feminino,900.0
2016,1017346,masculino,1332.5
2016,1018003,masculino,9356.0
2016,101831,masculino,399.0
2016,10185,masculino,740.0
2016,1019492,masculino,150.0
2016,1019501,feminino,8850.0
2016,1019509,masculino,18000.0
2016,1019540,masculino,9810.0
2016,1019565,masculino,4719.0
2016,1019578,masculino,2096.48
2016,102007,masculino,1070.0
2016,102008,feminino,400.0
2016,1020122,feminino,3060.0
2016,1020754,masculino,2192.85
2016,1020918,masculino,15264.0
2016,102094,masculino,1258.5
2016,10218,masculino,200.0
2016,1021824,feminino,598.0
2016,1023696,masculino,618.52
2016,1023744,masculino,6000.0
2016,1023762,masculino,17851.6
2016,1023865,feminino,25640.55
2016,102469,feminino,729.6800000000001
2016,1025538,masculino,5000.0
2016,1025782,masculino,8023.5
2016,1025823,masculino,6168.0
2016,1025841,feminino,144.0
2016,1026046,masculino,1065.0
2016,1026153,masculino,1620.0
2016,1026255,masculino,5320.0
2016,1026256,masculino,300.0
2016,1026263,masculino,9487.26
2016,1026294,masculino,808.5
2016,1026470,masculino,2934.0
2016,1026473,masculino,800.0
2016,1026481,masculino,19620.0
2016,1026533,masculino,9208.0
2016,1026627,masculino,7762.64
2016,1026659,masculino,47461.5
2016,1026669,masculino,5870.6
2016,102715,feminino,5328.92
2016,1027332,feminino,5688.0
2016,1027339,masculino,3387.1800000000003
2016,1027791,masculino,3200.0
2016,1028291,masculino,350.0
2016,1028308,masculino,600.0
2016,1028322,feminino,2385.93
2016,1028693,masculino,600.0
2016,1028739,masculino,12640.0
2016,1028978,masculino,54550.0
2016,1028981,masculino,1395.0
2016,102972,feminino,7520.0
2016,1029728,masculino,20200.0
2016,102973,masculino,3840.0
2016,1030450,feminino,1875.0
2016,10321,masculino,3930.0
2016,1033476,feminino,1492.08
2016,1033873,masculino,24150.0
2016,1034664,feminino,119.0
2016,1034869,masculino,502.8
2016,10354,masculino,46855.5
2016,103569,masculino,2741.0299999999997
2016,1035902,masculino,100.0
2016,1035928,masculino,1918.0
2016,1036089,masculino,680.0
2016,103618,masculino,2435.43
2016,1038140,masculino,24853.1
2016,1039346,masculino,2828.0
2016,1039347,masculino,714.0
2016,1039805,masculino,150.0
2016,1040010,masculino,1023.2
2016,1041924,feminino,1960.0
2016,1042680,masculino,16166.28
2016,1042690,masculino,14400.0
2016,10435,masculino,2704.17
2016,104367,masculino,650.0
2016,104423,feminino,250.0
2016,1044788,masculino,1260.0
2016,104569,masculino,3838.9800000000005
2016,1046041,masculino,2120.0
2016,1046053,feminino,100.0
2016,1046256,masculino,2511.33
2016,104633,masculino,549.0
2016,104636,feminino,56.11
2016,1046465,masculino,367.5
2016,1047101,masculino,6358.0
2016,1047134,feminino,46573.62
